panjang_url,ada_karakter_at,jumlah_titik,label
58,0,1,0
34,0,3,0
27,0,1,0
40,0,3,0
38,0,3,0
30,0,3,0
43,0,1,0
55,0,3,0
41,0,1,0
21,0,2,0
57,0,2,0
40,0,1,0
31,0,2,0
41,0,1,0
44,0,1,0
46,0,3,0
47,0,3,0
22,0,1,0
26,0,1,0
28,0,3,0
37,0,1,0
33,0,2,0
28,0,2,0
21,0,3,0
26,0,1,0
27,0,3,0
54,0,2,0
36,0,2,0
59,0,2,0
25,0,2,0
23,0,2,0
48,0,3,0
37,0,2,0
53,0,2,0
55,0,2,0
50,0,3,0
27,0,2,0
42,0,1,0
59,0,1,0
35,0,1,0
37,0,3,0
43,0,2,0
44,0,1,0
48,0,3,0
20,0,1,0
26,0,1,0
43,0,1,0
27,0,3,0
30,0,3,0
36,0,3,0
54,0,1,0
24,0,2,0
58,0,2,0
47,0,3,0
28,0,2,0
52,0,3,0
42,0,2,0
43,0,1,0
54,0,2,0
46,0,3,0
20,0,3,0
56,0,3,0
33,0,3,0
20,0,1,0
45,0,3,0
33,0,3,0
46,0,1,0
34,0,3,0
45,0,2,0
32,0,3,0
51,0,3,0
51,0,2,0
56,0,3,0
58,0,1,0
34,0,3,0
48,0,1,0
51,0,3,0
41,0,2,0
25,0,2,0
30,0,2,0
47,0,1,0
58,0,2,0
52,0,1,0
46,0,2,0
32,0,1,0
22,0,3,0
25,0,3,0
28,0,2,0
56,0,1,0
43,0,3,0
51,0,1,0
31,0,2,0
58,0,2,0
22,0,1,0
56,0,1,0
36,0,3,0
21,0,2,0
47,0,2,0
42,0,1,0
51,0,1,0
20,0,3,0
21,0,1,0
45,0,2,0
51,0,3,0
23,0,3,0
30,0,3,0
36,0,3,0
57,0,1,0
53,0,2,0
41,0,3,0
35,0,1,0
28,0,3,0
25,0,1,0
22,0,3,0
55,0,3,0
45,0,3,0
38,0,3,0
52,0,3,0
37,0,1,0
30,0,1,0
44,0,2,0
42,0,3,0
49,0,2,0
54,0,3,0
35,0,2,0
21,0,1,0
31,0,1,0
56,0,3,0
28,0,1,0
54,0,3,0
35,0,3,0
39,0,2,0
52,0,3,0
27,0,2,0
59,0,2,0
54,0,2,0
44,0,3,0
44,0,1,0
37,0,2,0
37,0,2,0
54,0,1,0
55,0,1,0
23,0,1,0
33,0,1,0
39,0,3,0
22,0,1,0
52,0,3,0
41,0,3,0
41,0,2,0
49,0,2,0
57,0,1,0
27,0,3,0
46,0,2,0
40,0,2,0
52,0,3,0
52,0,1,0
38,0,3,0
36,0,2,0
48,0,2,0
25,0,3,0
56,0,1,0
50,0,3,0
52,0,3,0
40,0,3,0
52,0,3,0
37,0,1,0
50,0,2,0
22,0,2,0
43,0,2,0
51,0,3,0
41,0,3,0
21,0,3,0
46,0,2,0
21,0,2,0
36,0,1,0
28,0,3,0
58,0,1,0
45,0,3,0
44,0,1,0
26,0,1,0
55,0,1,0
39,0,1,0
27,0,2,0
35,0,2,0
31,0,3,0
42,0,3,0
47,0,2,0
21,0,3,0
41,0,3,0
44,0,2,0
41,0,2,0
41,0,1,0
25,0,3,0
56,0,1,0
27,0,1,0
24,0,3,0
23,0,2,0
51,0,2,0
54,0,3,0
59,0,1,0
49,0,3,0
36,0,3,0
38,0,2,0
45,0,1,0
45,0,1,0
42,0,3,0
28,0,1,0
20,0,2,0
20,0,3,0
53,0,2,0
44,0,1,0
20,0,1,0
58,0,3,0
24,0,2,0
48,0,3,0
22,0,2,0
35,0,3,0
56,0,2,0
48,0,2,0
47,0,1,0
49,0,2,0
24,0,2,0
45,0,1,0
58,0,1,0
49,0,1,0
42,0,2,0
29,0,2,0
24,0,2,0
50,0,2,0
38,0,2,0
51,0,1,0
24,0,1,0
23,0,3,0
21,0,1,0
47,0,3,0
39,0,2,0
54,0,1,0
52,0,1,0
56,0,3,0
20,0,1,0
59,0,2,0
48,0,1,0
31,0,3,0
21,0,1,0
54,0,3,0
36,0,2,0
27,0,1,0
45,0,2,0
45,0,2,0
53,0,3,0
66,0,6,1
134,1,5,1
148,1,2,1
95,0,2,1
83,1,2,1
95,1,7,1
96,0,6,1
82,1,2,1
89,1,7,1
143,1,7,1
72,1,2,1
71,1,4,1
135,1,5,1
137,1,5,1
142,1,6,1
128,0,2,1
111,1,5,1
112,1,2,1
98,0,3,1
117,0,3,1
64,1,6,1
134,0,5,1
68,1,5,1
76,0,7,1
72,0,2,1
109,1,3,1
64,1,7,1
142,1,6,1
124,1,2,1
130,1,5,1
95,1,4,1
120,1,4,1
133,1,7,1
126,0,3,1
117,1,6,1
98,1,6,1
121,1,5,1
84,1,7,1
65,1,6,1
91,1,6,1
139,1,4,1
95,1,5,1
116,1,2,1
108,1,2,1
113,1,2,1
134,0,7,1
135,0,6,1
67,0,5,1
149,1,5,1
109,0,6,1
100,0,4,1
122,1,2,1
143,1,6,1
72,1,6,1
65,1,6,1
106,1,3,1
115,1,4,1
64,0,2,1
124,1,2,1
70,1,2,1
145,1,2,1
136,0,2,1
60,0,7,1
140,1,6,1
62,1,6,1
112,1,3,1
142,0,7,1
132,0,4,1
104,1,7,1
124,1,3,1
131,0,3,1
93,1,4,1
109,1,7,1
64,0,4,1
116,1,6,1
144,1,4,1
110,1,5,1
97,1,3,1
89,1,4,1
122,1,2,1
97,1,5,1
89,1,4,1
140,1,5,1
69,1,3,1
76,0,6,1
93,1,3,1
136,0,4,1
134,0,2,1
82,0,4,1
75,1,5,1
115,1,4,1
86,1,3,1
120,0,4,1
80,0,5,1
101,0,6,1
129,0,2,1
71,0,3,1
108,1,6,1
86,0,2,1
106,1,7,1
122,1,2,1
85,1,2,1
111,0,7,1
73,1,7,1
147,1,3,1
73,0,4,1
66,1,7,1
77,1,4,1
74,0,6,1
87,0,2,1
76,0,3,1
103,0,6,1
143,1,3,1
126,1,3,1
145,1,2,1
142,1,6,1
65,1,3,1
118,1,6,1
129,1,2,1
112,0,7,1
129,0,5,1
134,0,7,1
83,1,4,1
90,1,5,1
83,0,3,1
143,1,5,1
138,1,2,1
110,1,3,1
138,1,3,1
110,1,6,1
129,1,5,1
78,0,5,1
71,0,3,1
73,0,6,1
70,1,6,1
62,0,3,1
69,1,3,1
103,0,3,1
143,0,6,1
132,1,4,1
74,1,4,1
108,1,5,1
109,0,4,1
68,0,4,1
94,1,7,1
119,1,4,1
73,1,4,1
144,0,4,1
137,1,5,1
148,1,2,1
77,1,7,1
91,1,7,1
82,1,2,1
84,1,3,1
137,0,4,1
98,0,7,1
126,1,3,1
123,0,6,1
92,1,4,1
95,1,2,1
86,1,7,1
127,1,3,1
64,1,2,1
97,1,5,1
147,1,6,1
67,0,5,1
135,1,4,1
95,1,4,1
86,1,4,1
133,1,7,1
131,1,3,1
105,1,3,1
72,0,3,1
148,0,5,1
102,1,5,1
127,1,6,1
131,1,2,1
90,1,7,1
110,1,2,1
145,1,2,1
105,0,3,1
95,0,2,1
60,1,4,1
99,1,2,1
112,1,5,1
116,0,2,1
94,1,2,1
149,1,3,1
66,1,3,1
76,1,4,1
110,0,2,1
130,0,6,1
147,1,6,1
122,0,3,1
87,0,2,1
130,1,2,1
108,1,7,1
122,1,2,1
130,1,6,1
146,1,4,1
121,0,6,1
108,0,7,1
75,1,3,1
60,1,3,1
125,1,2,1
97,1,5,1
60,1,4,1
91,0,4,1
93,1,5,1
91,1,6,1
67,0,4,1
147,0,6,1
131,0,6,1
126,1,5,1
67,0,7,1
91,1,4,1
75,1,6,1
113,0,3,1
66,1,2,1
82,1,6,1
78,1,5,1
141,1,6,1
79,1,3,1
126,1,5,1
79,1,7,1
68,1,5,1
145,1,2,1
133,1,4,1
146,1,2,1
140,0,3,1
84,0,7,1
81,1,5,1
85,1,6,1
146,1,7,1
77,1,3,1
100,0,2,1
96,1,3,1
135,0,3,1
145,0,2,1
90,1,3,1
71,1,6,1
130,1,2,1
85,1,7,1
105,0,5,1
113,1,4,1
112,1,3,1
88,1,4,1
95,1,4,1
113,1,7,1
81,1,2,1
